title,introduce,director,link
小森林 夏秋篇,那些静得只能听见呼吸的日子里，你明白孤独即生活。,森淳一,https://movie.douban.com/subject/25814705/
喜宴,中国家庭的喜怒哀乐忍。,李安,https://movie.douban.com/subject/1303037/
喜剧之王,我是一个演员。,周星驰,https://movie.douban.com/subject/1302425/
虎口脱险,永远看不腻的喜剧。,杰拉尔·乌里,https://movie.douban.com/subject/1296909/
怪兽电力公司,不要给它起名字，起了名字就有感情了。,彼特·道格特,https://movie.douban.com/subject/1291579/
疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,科克·德·米科,https://movie.douban.com/subject/1907966/
黑天鹅,黑暗之美。,达伦·阿罗诺夫斯基,https://movie.douban.com/subject/1978709/
卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,特瑞·乔治,https://movie.douban.com/subject/1291822/
英雄本色,英雄泪短，兄弟情长。 ,吴宇森,https://movie.douban.com/subject/1297574/
猜火车,不可猜的青春迷笛。 ,丹尼·博伊尔,https://movie.douban.com/subject/1292528/
穿越时空的少女,爱上未来的你。 ,细田守,https://movie.douban.com/subject/1937946/
恋恋笔记本,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,尼克·卡索维茨,https://movie.douban.com/subject/1309163/
魂断蓝桥,中国式内在的美国电影。,Mervyn,https://movie.douban.com/subject/1293964/
雨中曲,骨灰级歌舞片。,Stanley,https://movie.douban.com/subject/1293460/
傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光。,乔·怀特,https://movie.douban.com/subject/1418200/
教父3,任何信念的力量，都无法改变命运。,弗朗西斯·福特·科波拉,https://movie.douban.com/subject/1294240/
完美的世界,坏人的好总是比好人的好来得更感人。,克林特·伊斯特伍德,https://movie.douban.com/subject/1300992/
纵横四海,香港浪漫主义警匪动作片的巅峰之作。,吴宇森,https://movie.douban.com/subject/1295409/
萤火之森,触不到的恋人。,大森贵弘,https://movie.douban.com/subject/5989818/
玩具总动员3,跨度十五年的欢乐与泪水。,李·昂克里奇,https://movie.douban.com/subject/1858711/
7号房的礼物,《我是山姆》的《美丽人生》。,李焕庆,https://movie.douban.com/subject/10777687/
哈利·波特与死亡圣器(下),10年的完美句点。,大卫·叶茨,https://movie.douban.com/subject/3011235/
花样年华,偷情本没有这样美。,王家卫,https://movie.douban.com/subject/1291557/
海边的曼彻斯特,我们都有权利不与自己的过去和解。,肯尼斯·罗纳根,https://movie.douban.com/subject/25980443/
荒蛮故事,始于荒诞，止于更荒诞。,达米安·斯兹弗隆,https://movie.douban.com/subject/24750126/
二十二,有一些东西不应该被遗忘。,郭柯,https://movie.douban.com/subject/26430107/
我是山姆,爱并不需要智商 。,杰茜·尼尔森,https://movie.douban.com/subject/1306861/
人工智能,对爱的执着，可以超越一切。,史蒂文·斯皮尔伯格,https://movie.douban.com/subject/1302827/
浪潮,世界离独裁只有五天。,丹尼斯·甘塞尔,https://movie.douban.com/subject/2297265/
香水,一个单凭体香达到高潮的男人。,汤姆·提克威,https://movie.douban.com/subject/1760622/
小森林 冬春篇,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,森淳一,https://movie.douban.com/subject/25814707/
冰川时代,松鼠才是角儿。,卡洛斯·沙尔丹哈,https://movie.douban.com/subject/1291578/
朗读者,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,史蒂芬·戴德利,https://movie.douban.com/subject/2213597/
追随,诺兰的牛逼来源于内心散发出的恐惧。,克里斯托弗·诺兰,https://movie.douban.com/subject/1397546/
时空恋旅人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,理查德·柯蒂斯,https://movie.douban.com/subject/10577869/
撞车,天使与魔鬼的冲撞。,保罗·哈吉斯,https://movie.douban.com/subject/1388216/
唐伯虎点秋香,华太师是黄霑，吴镇宇四大才子之一。,李力持,https://movie.douban.com/subject/1306249/
心迷宫,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,忻钰坤,https://movie.douban.com/subject/25917973/
罗生门,人生的N种可能性。,黑泽明,https://movie.douban.com/subject/1291879/
超能陆战队,Balalala~~~,唐·霍尔,https://movie.douban.com/subject/11026735/
一次别离,只有有信仰的人才能说出事实真相。,阿斯哈·法哈蒂,https://movie.douban.com/subject/5964718/
蝙蝠侠：黑暗骑士崛起,诺兰就是保证。,克里斯托弗·诺兰,https://movie.douban.com/subject/3395373/
战争之王,做一颗让别人需要你的棋子。,安德鲁·尼科尔,https://movie.douban.com/subject/1419936/
可可西里,坚硬的信仰。,陆川,https://movie.douban.com/subject/1308857/
梦之安魂曲,一场没有春天的噩梦。,达伦·阿伦诺夫斯基,https://movie.douban.com/subject/1292270/
未麻的部屋,好的剧本是，就算你猜到了结局也猜不到全部。,今敏,https://movie.douban.com/subject/1395091/
地球上的星星,天使保护事件始末。,阿米尔·汗,https://movie.douban.com/subject/2363506/
爆裂鼓手,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,达米安·沙泽勒,https://movie.douban.com/subject/25773932/
碧海蓝天,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,Luc,https://movie.douban.com/subject/1300960/
恐怖游轮,不要企图在重复中寻找已经失去的爱。,克里斯托弗·史密斯,https://movie.douban.com/subject/3011051/
秒速5厘米,青春就是放弃和怀念。,新海诚,https://movie.douban.com/subject/2043546/
阿飞正传,王家卫是一种风格，张国荣是一个代表。,王家卫,https://movie.douban.com/subject/1305690/
达拉斯买家俱乐部,Jared Leto的腿比女人还美！,让-马克·瓦雷,https://movie.douban.com/subject/1793929/
牯岭街少年杀人事件,弱者送给弱者的一刀。,杨德昌,https://movie.douban.com/subject/1292329/
谍影重重2,谁说王家卫镜头很晃？,保罗·格林格拉斯,https://movie.douban.com/subject/1308767/
谍影重重,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,道格·里曼,https://movie.douban.com/subject/1304102/
海盗电台,生命不止，摇滚不死。,理查德·柯蒂斯,https://movie.douban.com/subject/3007773/
惊魂记,故事的反转与反转，分裂电影的始祖。,Alfred,https://movie.douban.com/subject/1293181/
被解救的姜戈,热血沸腾，那个低俗、性感的无耻混蛋又来了。,昆汀·塔伦蒂诺,https://movie.douban.com/subject/6307447/
魔女宅急便,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,宫崎骏,https://movie.douban.com/subject/1307811/
再次出发之纽约遇见你,爱我就给我看你的播放列表。,约翰·卡尼,https://movie.douban.com/subject/6874403/
东京物语,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,小津安二郎,https://movie.douban.com/subject/1291568/
绿里奇迹,天使暂时离开。,Frank,https://movie.douban.com/subject/1300374/
青蛇,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,徐克,https://movie.douban.com/subject/1303394/
末路狂花,没有了退路，只好飞向自由。,雷德利·斯科特,https://movie.douban.com/subject/1291992/
勇闯夺命岛,类型片的极致。 ,迈克尔·贝,https://movie.douban.com/subject/1292728/
哪吒闹海,想你时你在闹海。,严定宪,https://movie.douban.com/subject/1307315/
迁徙的鸟,最美的飞翔。,雅克·贝汉,https://movie.douban.com/subject/1292281/
忠犬八公物语,养狗三日，便会对你终其一生。,Seijirô,https://movie.douban.com/subject/1959195/
荒野生存,出门必备：本草纲目。,西恩·潘,https://movie.douban.com/subject/1905462/
终结者2：审判日,少见的超越首部的续集，动作片中的经典。,詹姆斯·卡梅隆,https://movie.douban.com/subject/1291844/
卡萨布兰卡,与同名歌曲无关。,Michael,https://movie.douban.com/subject/1296753/
这个男人来自地球,科幻真正的魅力不是视觉效果能取代的。 ,理查德·沙因克曼,https://movie.douban.com/subject/2300586/
源代码,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,邓肯·琼斯,https://movie.douban.com/subject/3075287/
变脸,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,吴宇森,https://movie.douban.com/subject/1292659/
新龙门客栈,嬉笑怒骂，调风动月。,李惠民,https://movie.douban.com/subject/1292287/
燕尾蝶,现实与童话交相辉映的旅程。,岩井俊二,https://movie.douban.com/subject/1307793/
黑客帝国3：矩阵革命,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,Andy,https://movie.douban.com/subject/1302467/
黄金三镖客,最棒的西部片。,Sergio,https://movie.douban.com/subject/1401118/
E.T. 外星人,生病的E.T.皮肤的颜色就像柿子饼。,Steven,https://movie.douban.com/subject/1294638/
英国病人,"In memory, love lives forever...",安东尼·明格拉,https://movie.douban.com/subject/1291853/
城市之光,永远的小人物，伟大的卓别林。,Charles,https://movie.douban.com/subject/1293908/
发条橙,我完全康复了。,Stanley,https://movie.douban.com/subject/1292233/
美国丽人,每个人的内心都是深不可测的大海。 ,萨姆·门德斯,https://movie.douban.com/subject/1292062/
无耻混蛋,昆汀同学越来越变态了，比北野武还杜琪峰。,Quentin,https://movie.douban.com/subject/1438652/
叫我第一名,乐观比一切都有力量。,彼得·维纳,https://movie.douban.com/subject/4798888/
模仿游戏,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,莫腾·泰杜姆,https://movie.douban.com/subject/10463953/
穆赫兰道,大卫·林奇的梦境迷宫。,大卫·林奇,https://movie.douban.com/subject/1292217/
非常嫌疑犯,我不信仰上帝，但我敬畏上帝。,布莱恩·辛格,https://movie.douban.com/subject/1292214/
初恋这件小事,黑小鸭速效美白记。,普特鹏·普罗萨卡·那·萨克那卡林,https://movie.douban.com/subject/4739952/
勇士,热血沸腾，相当完美的娱乐拳击大餐。,加文·欧康诺,https://movie.douban.com/subject/3217169/
上帝也疯狂,纯净原始的笑与感动。,Jamie,https://movie.douban.com/subject/1297478/
房间,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,伦尼·阿伯拉罕森,https://movie.douban.com/subject/25724855/
头脑特工队,愿我们都不用长大，每一座城堡都能永远存在。,彼特·道格特,https://movie.douban.com/subject/10533913/
爱在午夜降临前,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,理查德·林克莱特,https://movie.douban.com/subject/10808442/
蓝色大门,青春的窃窃私语。 ,易智言,https://movie.douban.com/subject/1308575/
无敌破坏王,迪士尼和皮克斯拿错剧本的产物。,瑞奇·莫尔,https://movie.douban.com/subject/6534248/
爱·回家,献给所有外婆的电影。,李廷香,https://movie.douban.com/subject/1299361/
